,Workload,ReplacementPolicy,IPC,LLC_Load_Access,LLC_Load_Hit,LLC_Load_Miss,LLC_Load_MPKI,LLC_Miss_Latency,L2C_Load_Access,L2C_Load_Hit,L2C_Load_Miss,L2C_Load_MPKI,L2C_Miss_Latency,L1D_Load_Access,L1D_Load_Hit,L1D_Load_Miss,L1D_Load_MPKI,L1D_Miss_Latency
0,bc-0,lru,0.13715,3729846.0,1289604.0,2440242.0,48.80484,229.082,4173820.0,443974.0,3729846.0,74.59692,171.227,10392052.0,6218232.0,4173820.0,83.4764,164.188
1,bc-12,lru,0.140634,3676745.0,1258036.0,2418709.0,48.37418,239.42,4171415.0,494669.0,3676746.0,73.53492,178.87,11673548.0,7502133.0,4171415.0,83.4283,168.848
2,bc-3,lru,0.156484,3624852.0,1422296.0,2202556.0,44.05112,230.389,4334819.0,709967.0,3624852.0,72.49704,161.413,9463391.0,5128572.0,4334819.0,86.69638,146.276
3,bc-5,lru,0.202172,3628450.0,1222167.0,2406283.0,48.12566,421.137,3944964.0,316498.0,3628466.0,72.56932,300.93,10032938.0,6087973.0,3944965.0,78.8993,288.159
4,bfs-10,lru,0.243185,901076.0,38484.0,862592.0,17.25184,148.599,2177686.0,1276610.0,901076.0,18.02152,163.571,9285765.0,7108080.0,2177685.0,43.5537,78.6808
5,bfs-14,lru,0.27966,835271.0,45606.0,789665.0,15.7933,142.457,1157331.0,322060.0,835271.0,16.70542,155.7,7311578.0,6154254.0,1157324.0,23.14648,123.1
6,bfs-3,lru,0.239822,902381.0,42114.0,860267.0,17.20534,147.384,1596073.0,693692.0,902381.0,18.04762,161.7,8421371.0,6825302.0,1596069.0,31.92138,102.273
7,bfs-8,lru,0.320525,822143.0,45525.0,776618.0,15.53236,167.158,1016222.0,194079.0,822143.0,16.44286,179.665,5950483.0,4934275.0,1016208.0,20.32416,158.107
8,cc-13,lru,0.213284,2616245.0,1455324.0,1160921.0,23.21842,179.677,3755401.0,1139156.0,2616245.0,52.3249,100.743,10576166.0,6820765.0,3755401.0,75.10802,81.3319
9,cc-14,lru,0.24663,2553979.0,1425216.0,1128763.0,22.57526,187.952,3656835.0,1102855.0,2553980.0,51.0796,104.087,10294351.0,6637516.0,3656835.0,73.1367,83.9024
