,Workload,Reuse Segment,No of Access with Reuse segment,No of blocks in Avg Reuse Segment,No of access with access
0,bc-0,01_0,735,0,0
1,bc-0,02_1,5608,1,203291
2,bc-0,03_2,20443,1,2311
3,bc-0,04_3-4,123408,17,6900
4,bc-0,05_5-6,210853,102,8849
5,bc-0,06_7-8,228571,737,9784
6,bc-0,07_9-10,219806,1454,10695
7,bc-0,08_11-12,204581,1930,8844
8,bc-0,09_13-15,274569,3246,11283
9,bc-0,10_16-20,388896,8271,16013
10,bc-0,11_21-30,581738,25402,22223
11,bc-0,12_31-40,408061,31779,9317
12,bc-0,13_41-50,285295,25043,6818
13,bc-0,14_51-60,193263,15828,5746
14,bc-0,15_61-70,121043,8530,3097
15,bc-0,16_71-80,67604,4024,1409
16,bc-0,17_81-100,48873,2907,1444
17,bc-0,18_101-150,12598,1132,4287
18,bc-0,19_151-200,138,70,1012
19,bc-0,20_>200,0,0,442
20,bc-12,01_0,727,0,0
21,bc-12,02_1,5644,2,189287
22,bc-12,03_2,20562,2,2390
23,bc-12,04_3-4,123922,12,6805
24,bc-12,05_5-6,205827,66,8974
25,bc-12,06_7-8,222055,671,9493
26,bc-12,07_9-10,212541,1295,10478
27,bc-12,08_11-12,198022,1816,8579
28,bc-12,09_13-15,267339,3490,11240
29,bc-12,10_16-20,381657,8349,16816
30,bc-12,11_21-30,583162,27165,20579
31,bc-12,12_31-40,413520,31941,9905
32,bc-12,13_41-50,290879,25026,8740
33,bc-12,14_51-60,194395,15116,5702
34,bc-12,15_61-70,117733,7894,2404
35,bc-12,16_71-80,64019,3726,1142
36,bc-12,17_81-100,44494,2725,2078
37,bc-12,18_101-150,10439,1086,3774
38,bc-12,19_151-200,97,42,1011
39,bc-12,20_>200,0,0,314
40,bc-3,01_0,1006,0,0
41,bc-3,02_1,7748,2,235070
42,bc-3,03_2,27232,3,3363
43,bc-3,04_3-4,155030,22,9329
44,bc-3,05_5-6,248657,197,11128
45,bc-3,06_7-8,257939,1218,11301
46,bc-3,07_9-10,237648,2128,11719
47,bc-3,08_11-12,211961,2274,9159
48,bc-3,09_13-15,273437,3763,11089
49,bc-3,10_16-20,362461,8358,13964
50,bc-3,11_21-30,507616,22135,18236
51,bc-3,12_31-40,338747,27903,7688
52,bc-3,13_41-50,233488,23918,4733
53,bc-3,14_51-60,158590,16296,4692
54,bc-3,15_61-70,101942,9726,3461
55,bc-3,16_71-80,62235,5133,1737
56,bc-3,17_81-100,53768,4094,1521
57,bc-3,18_101-150,20259,1987,4526
58,bc-3,19_151-200,647,215,1073
59,bc-3,20_>200,0,0,653
60,bc-5,01_0,544,0,0
61,bc-5,02_1,4731,0,144545
62,bc-5,03_2,17671,1,2513
63,bc-5,04_3-4,109739,10,7528
64,bc-5,05_5-6,189825,44,9379
65,bc-5,06_7-8,212473,490,9599
